model_name,epochs,optimiser,learning_rate,batch_size,similarity,entropy_weight,vat_weight,vat_xi,vat_eps,recontruction_weight,gemini,ovo,dataset,dataset_N,dataset_df,dataset_alpha,train,encoder,encoder_input_shape,encoder_hidden_dim,encoder_output_shape,encoder_activation,clustering_head,clustering_head_input_shape,clustering_head_num_clusters,ARI,ACC,PTY,UCL,NCE
22-03-10_09-44-56_862909,100,adam,0.001,100,-1,0.0,0.0,10.0,1.0,0.0,hellinger,False,data/custom_datasets/gaussian_student_mixture.py,5000,1,5,True,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,4,0.9403088092803956,0.9771999716758728,0.9771999716758728,4,-0.0686307027935981
22-03-10_09-44-56_862909,100,adam,0.001,100,-1,0.0,0.0,10.0,1.0,0.0,hellinger,False,data/custom_datasets/gaussian_student_mixture.py,5000,1,5,False,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,4,0.9403088092803956,0.9771999716758728,0.9771999716758728,4,-0.0686307027935981
22-03-10_09-45-19_612455,100,adam,0.001,100,-1,0.0,0.0,10.0,1.0,0.0,hellinger,False,data/custom_datasets/gaussian_student_mixture.py,5000,1,5,True,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,8,0.8503568768501282,0.8500000238418579,0.9728000164031982,5,-0.067805178463459
22-03-10_09-45-19_612455,100,adam,0.001,100,-1,0.0,0.0,10.0,1.0,0.0,hellinger,False,data/custom_datasets/gaussian_student_mixture.py,5000,1,5,False,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,8,0.8496436476707458,0.8500000238418579,0.9724000096321106,5,-0.0682961642742157
22-03-10_09-46-33_984456,100,adam,0.001,100,-1,0.0,0.0,10.0,1.0,0.0,hellinger,False,data/custom_datasets/gaussian_student_mixture.py,5000,1,5,True,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,4,0.9377933144569396,0.976199984550476,0.976199984550476,4,-0.0706572607159614
22-03-10_09-46-33_984456,100,adam,0.001,100,-1,0.0,0.0,10.0,1.0,0.0,hellinger,False,data/custom_datasets/gaussian_student_mixture.py,5000,1,5,False,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,4,0.9377933144569396,0.976199984550476,0.976199984550476,4,-0.0706572607159614
22-03-10_09-46-56_615405,100,adam,0.001,100,-1,0.0,0.0,10.0,1.0,0.0,hellinger,False,data/custom_datasets/gaussian_student_mixture.py,5000,1,5,True,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,8,0.9403088092803956,0.9771999716758728,0.9771999716758728,4,-0.0686307027935981
22-03-10_09-46-56_615405,100,adam,0.001,100,-1,0.0,0.0,10.0,1.0,0.0,hellinger,False,data/custom_datasets/gaussian_student_mixture.py,5000,1,5,False,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,8,0.9403088092803956,0.9771999716758728,0.9771999716758728,4,-0.0686307027935981
22-03-10_09-48-10_568395,100,adam,0.001,100,-1,0.0,0.0,10.0,1.0,0.0,hellinger,False,data/custom_datasets/gaussian_student_mixture.py,5000,1,5,True,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,4,0.9357889890670776,0.9753999710083008,0.9753999710083008,4,-0.0722318589687347
22-03-10_09-48-10_568395,100,adam,0.001,100,-1,0.0,0.0,10.0,1.0,0.0,hellinger,False,data/custom_datasets/gaussian_student_mixture.py,5000,1,5,False,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,4,0.9357889890670776,0.9753999710083008,0.9753999710083008,4,-0.0722318589687347
22-03-10_09-48-33_556147,100,adam,0.001,100,-1,0.0,0.0,10.0,1.0,0.0,hellinger,False,data/custom_datasets/gaussian_student_mixture.py,5000,1,5,True,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,8,0.8636026978492737,0.8629999756813049,0.978600025177002,5,-0.0598317608237266
22-03-10_09-48-33_556147,100,adam,0.001,100,-1,0.0,0.0,10.0,1.0,0.0,hellinger,False,data/custom_datasets/gaussian_student_mixture.py,5000,1,5,False,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,8,0.8635479807853699,0.8605999946594238,0.978600025177002,5,-0.0598238818347454
22-03-10_09-49-48_234084,100,adam,0.001,100,-1,0.0,0.0,10.0,1.0,0.0,hellinger,False,data/custom_datasets/gaussian_student_mixture.py,5000,1,5,True,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,4,0.9403088092803956,0.9771999716758728,0.9771999716758728,4,-0.0686307027935981
22-03-10_09-49-48_234084,100,adam,0.001,100,-1,0.0,0.0,10.0,1.0,0.0,hellinger,False,data/custom_datasets/gaussian_student_mixture.py,5000,1,5,False,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,4,0.9403088092803956,0.9771999716758728,0.9771999716758728,4,-0.0686307027935981
22-03-10_09-50-10_434802,100,adam,0.001,100,-1,0.0,0.0,10.0,1.0,0.0,hellinger,False,data/custom_datasets/gaussian_student_mixture.py,5000,1,5,True,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,8,0.7789633274078369,0.8313999772071838,0.9175999760627748,5,-0.1047722846269607
22-03-10_09-50-10_434802,100,adam,0.001,100,-1,0.0,0.0,10.0,1.0,0.0,hellinger,False,data/custom_datasets/gaussian_student_mixture.py,5000,1,5,False,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,8,0.777515172958374,0.8288000226020813,0.9187999963760376,5,-0.1052450165152549
22-03-10_09-51-25_821642,100,adam,0.001,100,-1,0.0,0.0,10.0,1.0,0.0,hellinger,False,data/custom_datasets/gaussian_student_mixture.py,5000,1,5,True,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,4,0.9366727471351624,0.9757999777793884,0.9757999777793884,4,-0.0721487328410148
22-03-10_09-51-25_821642,100,adam,0.001,100,-1,0.0,0.0,10.0,1.0,0.0,hellinger,False,data/custom_datasets/gaussian_student_mixture.py,5000,1,5,False,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,4,0.9366727471351624,0.9757999777793884,0.9757999777793884,4,-0.0721487328410148
22-03-10_09-51-47_760959,100,adam,0.001,100,-1,0.0,0.0,10.0,1.0,0.0,hellinger,False,data/custom_datasets/gaussian_student_mixture.py,5000,1,5,True,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,8,0.9443560242652892,0.9787999987602234,0.9787999987602234,4,-0.0658117532730102
22-03-10_09-51-47_760959,100,adam,0.001,100,-1,0.0,0.0,10.0,1.0,0.0,hellinger,False,data/custom_datasets/gaussian_student_mixture.py,5000,1,5,False,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,8,0.9443560242652892,0.9787999987602234,0.9787999987602234,4,-0.0658117532730102
22-03-10_09-53-06_263264,100,adam,0.001,100,-1,0.0,0.0,10.0,1.0,0.0,hellinger,False,data/custom_datasets/gaussian_student_mixture.py,5000,1,5,True,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,4,0.9393411874771118,0.97680002450943,0.97680002450943,4,-0.069531574845314
22-03-10_09-53-06_263264,100,adam,0.001,100,-1,0.0,0.0,10.0,1.0,0.0,hellinger,False,data/custom_datasets/gaussian_student_mixture.py,5000,1,5,False,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,4,0.9393411874771118,0.97680002450943,0.97680002450943,4,-0.069531574845314
22-03-10_09-53-26_836514,100,adam,0.001,100,-1,0.0,0.0,10.0,1.0,0.0,hellinger,False,data/custom_datasets/gaussian_student_mixture.py,5000,1,5,True,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,8,0.7649630904197693,0.8181999921798706,0.9007999897003174,5,-0.1096030324697494
22-03-10_09-53-26_836514,100,adam,0.001,100,-1,0.0,0.0,10.0,1.0,0.0,hellinger,False,data/custom_datasets/gaussian_student_mixture.py,5000,1,5,False,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,8,0.7659683227539062,0.8191999793052673,0.9028000235557556,5,-0.1092837527394294
22-03-10_09-54-45_184883,100,adam,0.001,100,-1,0.0,0.0,10.0,1.0,0.0,hellinger,False,data/custom_datasets/gaussian_student_mixture.py,5000,1,5,True,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,4,0.9403088092803956,0.9771999716758728,0.9771999716758728,4,-0.0686307027935981
22-03-10_09-54-45_184883,100,adam,0.001,100,-1,0.0,0.0,10.0,1.0,0.0,hellinger,False,data/custom_datasets/gaussian_student_mixture.py,5000,1,5,False,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,4,0.9403088092803956,0.9771999716758728,0.9771999716758728,4,-0.0686307027935981
22-03-10_09-55-04_684699,100,adam,0.001,100,-1,0.0,0.0,10.0,1.0,0.0,hellinger,False,data/custom_datasets/gaussian_student_mixture.py,5000,1,5,True,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,8,0.7798342704772949,0.8271999955177307,0.9210000038146972,5,-0.1021015048027038
22-03-10_09-55-04_684699,100,adam,0.001,100,-1,0.0,0.0,10.0,1.0,0.0,hellinger,False,data/custom_datasets/gaussian_student_mixture.py,5000,1,5,False,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,8,0.77948397397995,0.8258000016212463,0.921999990940094,5,-0.1022295132279396
22-03-10_09-56-22_975829,100,adam,0.001,100,-1,0.0,0.0,10.0,1.0,0.0,hellinger,False,data/custom_datasets/gaussian_student_mixture.py,5000,1,5,True,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,4,0.9357775449752808,0.9753999710083008,0.9753999710083008,4,-0.0722055956721305
22-03-10_09-56-22_975829,100,adam,0.001,100,-1,0.0,0.0,10.0,1.0,0.0,hellinger,False,data/custom_datasets/gaussian_student_mixture.py,5000,1,5,False,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,4,0.9357775449752808,0.9753999710083008,0.9753999710083008,4,-0.0722055956721305
22-03-10_09-56-42_859834,100,adam,0.001,100,-1,0.0,0.0,10.0,1.0,0.0,hellinger,False,data/custom_datasets/gaussian_student_mixture.py,5000,1,5,True,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,8,0.6446499228477478,0.6797999739646912,0.8916000127792358,6,-0.1127243116497993
22-03-10_09-56-42_859834,100,adam,0.001,100,-1,0.0,0.0,10.0,1.0,0.0,hellinger,False,data/custom_datasets/gaussian_student_mixture.py,5000,1,5,False,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,8,0.6503478288650513,0.6866000294685364,0.8960000276565552,6,-0.1107373312115669
22-03-10_09-58-00_591131,100,adam,0.001,100,-1,0.0,0.0,10.0,1.0,0.0,hellinger,False,data/custom_datasets/gaussian_student_mixture.py,5000,1,5,True,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,4,0.9377933144569396,0.976199984550476,0.976199984550476,4,-0.0706572607159614
22-03-10_09-58-00_591131,100,adam,0.001,100,-1,0.0,0.0,10.0,1.0,0.0,hellinger,False,data/custom_datasets/gaussian_student_mixture.py,5000,1,5,False,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,4,0.9377933144569396,0.976199984550476,0.976199984550476,4,-0.0706572607159614
22-03-10_09-58-20_112624,100,adam,0.001,100,-1,0.0,0.0,10.0,1.0,0.0,hellinger,False,data/custom_datasets/gaussian_student_mixture.py,5000,1,5,True,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,8,0.8641422986984253,0.8741999864578247,0.9783999919891356,5,-0.0605927072465419
22-03-10_09-58-20_112624,100,adam,0.001,100,-1,0.0,0.0,10.0,1.0,0.0,hellinger,False,data/custom_datasets/gaussian_student_mixture.py,5000,1,5,False,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,8,0.8635370135307312,0.870199978351593,0.9783999919891356,5,-0.0605657584965229
22-03-10_09-59-39_626110,100,adam,0.001,100,-1,0.0,0.0,10.0,1.0,0.0,hellinger,False,data/custom_datasets/gaussian_student_mixture.py,5000,1,5,True,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,4,0.9448957443237304,0.9789999723434448,0.9789999723434448,4,-0.0659773051738739
22-03-10_09-59-39_626110,100,adam,0.001,100,-1,0.0,0.0,10.0,1.0,0.0,hellinger,False,data/custom_datasets/gaussian_student_mixture.py,5000,1,5,False,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,4,0.9448957443237304,0.9789999723434448,0.9789999723434448,4,-0.0659773051738739
22-03-10_09-59-59_355037,100,adam,0.001,100,-1,0.0,0.0,10.0,1.0,0.0,hellinger,False,data/custom_datasets/gaussian_student_mixture.py,5000,1,5,True,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,8,0.9357775449752808,0.9753999710083008,0.9753999710083008,4,-0.0722055956721305
22-03-10_09-59-59_355037,100,adam,0.001,100,-1,0.0,0.0,10.0,1.0,0.0,hellinger,False,data/custom_datasets/gaussian_student_mixture.py,5000,1,5,False,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,8,0.9357775449752808,0.9753999710083008,0.9753999710083008,4,-0.0722055956721305
22-03-10_10-01-17_288239,100,adam,0.001,100,-1,0.0,0.0,10.0,1.0,0.0,hellinger,False,data/custom_datasets/gaussian_student_mixture.py,5000,1,5,True,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,4,0.5990371704101562,0.7361999750137329,0.7361999750137329,3,-0.3339100778102875
22-03-10_10-01-17_288239,100,adam,0.001,100,-1,0.0,0.0,10.0,1.0,0.0,hellinger,False,data/custom_datasets/gaussian_student_mixture.py,5000,1,5,False,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,4,0.5989567637443542,0.7361999750137329,0.7361999750137329,3,-0.3339544832706451
22-03-10_10-01-37_041148,100,adam,0.001,100,-1,0.0,0.0,10.0,1.0,0.0,hellinger,False,data/custom_datasets/gaussian_student_mixture.py,5000,1,5,True,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,8,0.9403088092803956,0.9771999716758728,0.9771999716758728,4,-0.0686307027935981
22-03-10_10-01-37_041148,100,adam,0.001,100,-1,0.0,0.0,10.0,1.0,0.0,hellinger,False,data/custom_datasets/gaussian_student_mixture.py,5000,1,5,False,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,8,0.9403088092803956,0.9771999716758728,0.9771999716758728,4,-0.0686307027935981
22-03-10_10-02-55_094299,100,adam,0.001,100,-1,0.0,0.0,10.0,1.0,0.0,hellinger,False,data/custom_datasets/gaussian_student_mixture.py,5000,1,5,True,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,4,0.9357889890670776,0.9753999710083008,0.9753999710083008,4,-0.0722318589687347
