model_name,epochs,optimiser,learning_rate,batch_size,similarity,entropy_weight,vat_weight,vat_xi,vat_eps,recontruction_weight,gemini,ovo,dataset,dataset_N,dataset_df,dataset_alpha,train,encoder,encoder_input_shape,encoder_hidden_dim,encoder_output_shape,encoder_activation,clustering_head,clustering_head_input_shape,clustering_head_num_clusters,ARI,ACC,PTY,UCL,NCE
22-03-10_09-41-10_503141,100,adam,0.001,100,-1,0.0,0.0,10.0,1.0,0.0,kl,False,data/custom_datasets/gaussian_student_mixture.py,5000,1,5,True,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,4,0.9403088092803956,0.9771999716758728,0.9771999716758728,4,-0.0686307027935981
22-03-10_09-41-10_503141,100,adam,0.001,100,-1,0.0,0.0,10.0,1.0,0.0,kl,False,data/custom_datasets/gaussian_student_mixture.py,5000,1,5,False,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,4,0.9403088092803956,0.9771999716758728,0.9771999716758728,4,-0.0686307027935981
22-03-10_09-42-42_779696,100,adam,0.001,100,-1,0.0,0.0,10.0,1.0,0.0,kl,False,data/custom_datasets/gaussian_student_mixture.py,5000,1,5,True,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,4,0.9448957443237304,0.9789999723434448,0.9789999723434448,4,-0.0659773051738739
22-03-10_09-42-42_779696,100,adam,0.001,100,-1,0.0,0.0,10.0,1.0,0.0,kl,False,data/custom_datasets/gaussian_student_mixture.py,5000,1,5,False,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,4,0.9448957443237304,0.9789999723434448,0.9789999723434448,4,-0.0659773051738739
22-03-10_09-44-05_436635,100,adam,0.001,100,-1,0.0,0.0,10.0,1.0,0.0,kl,False,data/custom_datasets/gaussian_student_mixture.py,5000,1,5,True,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,8,0.5573500394821167,0.5735999941825867,0.9157999753952026,7,-0.1033543795347213
22-03-10_09-44-05_436635,100,adam,0.001,100,-1,0.0,0.0,10.0,1.0,0.0,kl,False,data/custom_datasets/gaussian_student_mixture.py,5000,1,5,False,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,8,0.5539886951446533,0.5770000219345093,0.911199986934662,7,-0.1043965145945549
22-03-10_09-44-13_831609,100,adam,0.001,100,-1,0.0,0.0,10.0,1.0,0.0,kl,False,data/custom_datasets/gaussian_student_mixture.py,5000,1,5,True,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,4,0.9448957443237304,0.9789999723434448,0.9789999723434448,4,-0.0659773051738739
22-03-10_09-44-13_831609,100,adam,0.001,100,-1,0.0,0.0,10.0,1.0,0.0,kl,False,data/custom_datasets/gaussian_student_mixture.py,5000,1,5,False,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,4,0.9448957443237304,0.9789999723434448,0.9789999723434448,4,-0.0659773051738739
22-03-10_09-45-39_353343,100,adam,0.001,100,-1,0.0,0.0,10.0,1.0,0.0,kl,False,data/custom_datasets/gaussian_student_mixture.py,5000,1,5,True,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,8,0.760181725025177,0.8126000165939331,0.8996000289916992,5,-0.1110856831073761
22-03-10_09-45-39_353343,100,adam,0.001,100,-1,0.0,0.0,10.0,1.0,0.0,kl,False,data/custom_datasets/gaussian_student_mixture.py,5000,1,5,False,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,8,0.7552599906921387,0.8062000274658203,0.9010000228881836,5,-0.1129971593618393
