model_name,epochs,optimiser,learning_rate,batch_size,similarity,entropy_weight,vat_weight,vat_xi,vat_eps,recontruction_weight,gemini,ovo,dataset,dataset_N,dataset_df,dataset_alpha,train,encoder,encoder_input_shape,encoder_hidden_dim,encoder_output_shape,encoder_activation,clustering_head,clustering_head_input_shape,clustering_head_num_clusters,ARI,ACC,PTY,UCL,NCE
22-03-10_10-14-18_038661,100,adam,0.001,100,-1,0.0,0.0,10.0,1.0,0.0,kl,True,data/custom_datasets/gaussian_student_mixture.py,5000,1,5,True,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,4,0.9443560242652892,0.9787999987602234,0.9787999987602234,4,-0.0658117532730102
22-03-10_10-14-18_038661,100,adam,0.001,100,-1,0.0,0.0,10.0,1.0,0.0,kl,True,data/custom_datasets/gaussian_student_mixture.py,5000,1,5,False,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,4,0.9443560242652892,0.9787999987602234,0.9787999987602234,4,-0.0658117532730102
22-03-10_10-16-00_692454,100,adam,0.001,100,-1,0.0,0.0,10.0,1.0,0.0,kl,True,data/custom_datasets/gaussian_student_mixture.py,5000,1,5,True,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,4,0.9403114914894104,0.9771999716758728,0.9771999716758728,4,-0.0686849877238273
22-03-10_10-16-00_692454,100,adam,0.001,100,-1,0.0,0.0,10.0,1.0,0.0,kl,True,data/custom_datasets/gaussian_student_mixture.py,5000,1,5,False,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,4,0.9403114914894104,0.9771999716758728,0.9771999716758728,4,-0.0686849877238273
22-03-10_10-17-38_291333,100,adam,0.001,100,-1,0.0,0.0,10.0,1.0,0.0,kl,True,data/custom_datasets/gaussian_student_mixture.py,5000,1,5,True,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,4,0.6661199331283569,0.7382000088691711,0.7382000088691711,3,-0.2954745888710022
22-03-10_10-17-38_291333,100,adam,0.001,100,-1,0.0,0.0,10.0,1.0,0.0,kl,True,data/custom_datasets/gaussian_student_mixture.py,5000,1,5,False,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,4,0.6658697128295898,0.7379999756813049,0.7379999756813049,3,-0.296016663312912
22-03-10_10-19-12_941403,100,adam,0.001,100,-1,0.0,0.0,10.0,1.0,0.0,kl,True,data/custom_datasets/gaussian_student_mixture.py,5000,1,5,True,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,4,0.6663854718208313,0.7379999756813049,0.7379999756813049,3,-0.2959088385105133
22-03-10_10-19-12_941403,100,adam,0.001,100,-1,0.0,0.0,10.0,1.0,0.0,kl,True,data/custom_datasets/gaussian_student_mixture.py,5000,1,5,False,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,4,0.6663854718208313,0.7379999756813049,0.7379999756813049,3,-0.2959088385105133
22-03-10_10-20-44_854643,100,adam,0.001,100,-1,0.0,0.0,10.0,1.0,0.0,kl,True,data/custom_datasets/gaussian_student_mixture.py,5000,1,5,True,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,4,0.6566872000694275,0.7365999817848206,0.7365999817848206,3,-0.3006502687931061
22-03-10_10-20-44_854643,100,adam,0.001,100,-1,0.0,0.0,10.0,1.0,0.0,kl,True,data/custom_datasets/gaussian_student_mixture.py,5000,1,5,False,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,4,0.6566872000694275,0.7365999817848206,0.7365999817848206,3,-0.3006502687931061
22-03-10_10-21-21_865176,100,adam,0.001,100,-1,0.0,0.0,10.0,1.0,0.0,kl,True,data/custom_datasets/gaussian_student_mixture.py,5000,1,5,True,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,8,0.9403088092803956,0.9771999716758728,0.9771999716758728,4,-0.0686307027935981
22-03-10_10-21-21_865176,100,adam,0.001,100,-1,0.0,0.0,10.0,1.0,0.0,kl,True,data/custom_datasets/gaussian_student_mixture.py,5000,1,5,False,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,8,0.9403088092803956,0.9771999716758728,0.9771999716758728,4,-0.0686307027935981
22-03-10_10-22-19_669682,100,adam,0.001,100,-1,0.0,0.0,10.0,1.0,0.0,kl,True,data/custom_datasets/gaussian_student_mixture.py,5000,1,5,True,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,4,0.6862819790840149,0.7411999702453613,0.7411999702453613,3,-0.2827464342117309
22-03-10_10-22-19_669682,100,adam,0.001,100,-1,0.0,0.0,10.0,1.0,0.0,kl,True,data/custom_datasets/gaussian_student_mixture.py,5000,1,5,False,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,4,0.6862819790840149,0.7411999702453613,0.7411999702453613,3,-0.2827464342117309
22-03-10_10-22-58_878956,100,adam,0.001,100,-1,0.0,0.0,10.0,1.0,0.0,kl,True,data/custom_datasets/gaussian_student_mixture.py,5000,1,5,True,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,8,0.6602994799613953,0.7382000088691711,0.7382000088691711,3,-0.298449695110321
22-03-10_10-22-58_878956,100,adam,0.001,100,-1,0.0,0.0,10.0,1.0,0.0,kl,True,data/custom_datasets/gaussian_student_mixture.py,5000,1,5,False,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,8,0.6602994799613953,0.7382000088691711,0.7382000088691711,3,-0.298449695110321
22-03-10_10-23-58_097801,100,adam,0.001,100,-1,0.0,0.0,10.0,1.0,0.0,kl,True,data/custom_datasets/gaussian_student_mixture.py,5000,1,5,True,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,4,0.6893149018287659,0.7411999702453613,0.7411999702453613,3,-0.2801647782325744
22-03-10_10-23-58_097801,100,adam,0.001,100,-1,0.0,0.0,10.0,1.0,0.0,kl,True,data/custom_datasets/gaussian_student_mixture.py,5000,1,5,False,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,4,0.6893149018287659,0.7411999702453613,0.7411999702453613,3,-0.2801647782325744
22-03-10_10-24-39_797788,100,adam,0.001,100,-1,0.0,0.0,10.0,1.0,0.0,kl,True,data/custom_datasets/gaussian_student_mixture.py,5000,1,5,True,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,8,0.9403088092803956,0.9771999716758728,0.9771999716758728,4,-0.0686307027935981
22-03-10_10-24-39_797788,100,adam,0.001,100,-1,0.0,0.0,10.0,1.0,0.0,kl,True,data/custom_datasets/gaussian_student_mixture.py,5000,1,5,False,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,8,0.9403088092803956,0.9771999716758728,0.9771999716758728,4,-0.0686307027935981
22-03-10_10-25-41_179636,100,adam,0.001,100,-1,0.0,0.0,10.0,1.0,0.0,kl,True,data/custom_datasets/gaussian_student_mixture.py,5000,1,5,True,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,4,0.9443445205688475,0.9787999987602234,0.9787999987602234,4,-0.0657850727438926
22-03-10_10-25-41_179636,100,adam,0.001,100,-1,0.0,0.0,10.0,1.0,0.0,kl,True,data/custom_datasets/gaussian_student_mixture.py,5000,1,5,False,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,4,0.9443445205688475,0.9787999987602234,0.9787999987602234,4,-0.0657850727438926
