model_name,epochs,optimiser,learning_rate,batch_size,similarity,entropy_weight,vat_weight,vat_xi,vat_eps,recontruction_weight,gemini,ovo,dataset,dataset_N,dataset_df,dataset_alpha,train,encoder,encoder_input_shape,encoder_hidden_dim,encoder_output_shape,encoder_activation,clustering_head,clustering_head_input_shape,clustering_head_num_clusters,ARI,ACC,PTY,UCL,NCE
22-03-10_11-13-33_503144,100,adam,0.001,100,linear,0.0,0.0,10.0,1.0,0.0,mmd,False,data/custom_datasets/gaussian_student_mixture.py,5000,1,5,True,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,8,0.9257472157478333,0.971400022506714,0.971400022506714,4,-0.0800428614020347
22-03-10_11-13-33_503144,100,adam,0.001,100,linear,0.0,0.0,10.0,1.0,0.0,mmd,False,data/custom_datasets/gaussian_student_mixture.py,5000,1,5,False,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,8,0.9267451763153076,0.9718000292778016,0.9718000292778016,4,-0.0792710110545158
22-03-10_11-13-33_514950,100,adam,0.001,100,linear,0.0,0.0,10.0,1.0,0.0,mmd,False,data/custom_datasets/gaussian_student_mixture.py,5000,2,5,True,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,4,0.9664338231086732,0.9873999953269958,0.9873999953269958,4,-0.0431129746139049
22-03-10_11-13-33_514950,100,adam,0.001,100,linear,0.0,0.0,10.0,1.0,0.0,mmd,False,data/custom_datasets/gaussian_student_mixture.py,5000,2,5,False,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,4,0.9659076929092408,0.9872000217437744,0.9872000217437744,4,-0.0436045490205287
22-03-10_11-13-33_514946,100,adam,0.001,100,linear,0.0,0.0,10.0,1.0,0.0,mmd,False,data/custom_datasets/gaussian_student_mixture.py,5000,2,5,True,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,8,0.966960310935974,0.987600028514862,0.987600028514862,4,-0.042616743594408
22-03-10_11-13-33_514946,100,adam,0.001,100,linear,0.0,0.0,10.0,1.0,0.0,mmd,False,data/custom_datasets/gaussian_student_mixture.py,5000,2,5,False,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,8,0.966960310935974,0.987600028514862,0.987600028514862,4,-0.042616743594408
22-03-10_11-13-33_503474,100,adam,0.001,100,linear,0.0,0.0,10.0,1.0,0.0,mmd,False,data/custom_datasets/gaussian_student_mixture.py,5000,1,5,True,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,4,0.9221602082252502,0.9700000286102296,0.9700000286102296,4,-0.083057664334774
22-03-10_11-13-33_503474,100,adam,0.001,100,linear,0.0,0.0,10.0,1.0,0.0,mmd,False,data/custom_datasets/gaussian_student_mixture.py,5000,1,5,False,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,4,0.9216673374176024,0.9697999954223632,0.9697999954223632,4,-0.0834309980273246
22-03-10_11-15-23_476092,100,adam,0.001,100,linear,0.0,0.0,10.0,1.0,0.0,mmd,False,data/custom_datasets/gaussian_student_mixture.py,5000,1,5,True,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,8,0.8984079360961914,0.944000005722046,0.9742000102996826,5,-0.0704737305641174
22-03-10_11-15-23_476092,100,adam,0.001,100,linear,0.0,0.0,10.0,1.0,0.0,mmd,False,data/custom_datasets/gaussian_student_mixture.py,5000,1,5,False,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,8,0.9016069173812866,0.9472000002861024,0.9742000102996826,5,-0.0707544013857841
22-03-10_11-15-32_289447,100,adam,0.001,100,linear,0.0,0.0,10.0,1.0,0.0,mmd,False,data/custom_datasets/gaussian_student_mixture.py,5000,2,5,True,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,4,0.9680086970329284,0.9879999756813048,0.9879999756813048,4,-0.0415936522185802
22-03-10_11-15-32_289447,100,adam,0.001,100,linear,0.0,0.0,10.0,1.0,0.0,mmd,False,data/custom_datasets/gaussian_student_mixture.py,5000,2,5,False,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,4,0.9680086970329284,0.9879999756813048,0.9879999756813048,4,-0.0415936522185802
22-03-10_11-15-41_584067,100,adam,0.001,100,linear,0.0,0.0,10.0,1.0,0.0,mmd,False,data/custom_datasets/gaussian_student_mixture.py,5000,2,5,True,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,8,0.8911986947059631,0.9010000228881836,0.9887999892234802,5,-0.0355448871850967
22-03-10_11-15-41_584067,100,adam,0.001,100,linear,0.0,0.0,10.0,1.0,0.0,mmd,False,data/custom_datasets/gaussian_student_mixture.py,5000,2,5,False,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,8,0.8880725502967834,0.8925999999046326,0.9887999892234802,5,-0.0354472920298576
