model_name,epochs,optimiser,learning_rate,batch_size,similarity,entropy_weight,vat_weight,vat_xi,vat_eps,recontruction_weight,gemini,ovo,dataset,dataset_N,dataset_df,dataset_alpha,train,encoder,encoder_input_shape,encoder_hidden_dim,encoder_output_shape,encoder_activation,clustering_head,clustering_head_input_shape,clustering_head_num_clusters,ARI,ACC,PTY,UCL,NCE
22-03-10_11-13-46_376881,100,adam,0.001,100,linear,0.0,0.0,10.0,1.0,0.0,mmd,True,data/custom_datasets/gaussian_student_mixture.py,5000,2,5,True,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,8,0.8007732033729553,0.7621999979019165,0.9918000102043152,7,-0.0254443623125553
22-03-10_11-13-46_376881,100,adam,0.001,100,linear,0.0,0.0,10.0,1.0,0.0,mmd,True,data/custom_datasets/gaussian_student_mixture.py,5000,2,5,False,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,8,0.7791959643363953,0.7343999743461609,0.9918000102043152,7,-0.0245752427726984
22-03-10_11-13-46_376885,100,adam,0.001,100,linear,0.0,0.0,10.0,1.0,0.0,mmd,True,data/custom_datasets/gaussian_student_mixture.py,5000,1,5,True,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,4,0.9066896438598632,0.963599979877472,0.963599979877472,4,-0.09380654245615
22-03-10_11-13-46_376885,100,adam,0.001,100,linear,0.0,0.0,10.0,1.0,0.0,mmd,True,data/custom_datasets/gaussian_student_mixture.py,5000,1,5,False,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,4,0.9071826934814452,0.963800013065338,0.963800013065338,4,-0.0934298187494278
22-03-10_11-13-45_689233,100,adam,0.001,100,linear,0.0,0.0,10.0,1.0,0.0,mmd,True,data/custom_datasets/gaussian_student_mixture.py,5000,2,5,True,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,4,0.96748149394989,0.9878000020980836,0.9878000020980836,4,-0.0420952253043651
22-03-10_11-13-45_689233,100,adam,0.001,100,linear,0.0,0.0,10.0,1.0,0.0,mmd,True,data/custom_datasets/gaussian_student_mixture.py,5000,2,5,False,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,4,0.96748149394989,0.9878000020980836,0.9878000020980836,4,-0.0420952253043651
22-03-10_11-13-46_376893,100,adam,0.001,100,linear,0.0,0.0,10.0,1.0,0.0,mmd,True,data/custom_datasets/gaussian_student_mixture.py,5000,1,5,True,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,8,0.8266889452934265,0.8489999771118164,0.978600025177002,7,-0.0524122938513755
22-03-10_11-13-46_376893,100,adam,0.001,100,linear,0.0,0.0,10.0,1.0,0.0,mmd,True,data/custom_datasets/gaussian_student_mixture.py,5000,1,5,False,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,8,0.8292028307914734,0.8547999858856201,0.977999985218048,7,-0.0529688708484172
22-03-10_11-15-41_122119,100,adam,0.001,100,linear,0.0,0.0,10.0,1.0,0.0,mmd,True,data/custom_datasets/gaussian_student_mixture.py,5000,1,5,True,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,4,0.914097011089325,0.9666000008583068,0.9666000008583068,4,-0.0880800709128379
22-03-10_11-15-41_122119,100,adam,0.001,100,linear,0.0,0.0,10.0,1.0,0.0,mmd,True,data/custom_datasets/gaussian_student_mixture.py,5000,1,5,False,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,4,0.9160258173942566,0.9674000144004822,0.9674000144004822,4,-0.0867928862571716
