model_name,epochs,optimiser,learning_rate,batch_size,similarity,entropy_weight,vat_weight,vat_xi,vat_eps,recontruction_weight,gemini,ovo,dataset,dataset_N,dataset_df,dataset_alpha,train,encoder,encoder_input_shape,encoder_hidden_dim,encoder_output_shape,encoder_activation,clustering_head,clustering_head_input_shape,clustering_head_num_clusters,ARI,ACC,PTY,UCL,NCE
22-03-10_09-45-30_235132,100,adam,0.001,100,-1,0.0,0.0,10.0,1.0,0.0,tv,False,data/custom_datasets/gaussian_student_mixture.py,5000,1,5,True,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,4,0.9443560242652892,0.9787999987602234,0.9787999987602234,4,-0.0658117532730102
22-03-10_09-45-30_235132,100,adam,0.001,100,-1,0.0,0.0,10.0,1.0,0.0,tv,False,data/custom_datasets/gaussian_student_mixture.py,5000,1,5,False,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,4,0.9443560242652892,0.9787999987602234,0.9787999987602234,4,-0.0658117532730102
22-03-10_09-45-45_486611,100,adam,0.001,100,-1,0.0,0.0,10.0,1.0,0.0,tv,False,data/custom_datasets/gaussian_student_mixture.py,5000,1,5,True,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,8,0.9372791647911072,0.9760000109672546,0.9760000109672546,4,-0.0716831386089325
22-03-10_09-45-45_486611,100,adam,0.001,100,-1,0.0,0.0,10.0,1.0,0.0,tv,False,data/custom_datasets/gaussian_student_mixture.py,5000,1,5,False,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,8,0.9372791647911072,0.9760000109672546,0.9760000109672546,4,-0.0716831386089325
22-03-10_09-47-07_741472,100,adam,0.001,100,-1,0.0,0.0,10.0,1.0,0.0,tv,False,data/custom_datasets/gaussian_student_mixture.py,5000,1,5,True,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,4,0.9373305439949036,0.9760000109672546,0.9760000109672546,4,-0.0711456835269928
22-03-10_09-47-07_741472,100,adam,0.001,100,-1,0.0,0.0,10.0,1.0,0.0,tv,False,data/custom_datasets/gaussian_student_mixture.py,5000,1,5,False,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,4,0.9373305439949036,0.9760000109672546,0.9760000109672546,4,-0.0711456835269928
22-03-10_09-47-24_120570,100,adam,0.001,100,-1,0.0,0.0,10.0,1.0,0.0,tv,False,data/custom_datasets/gaussian_student_mixture.py,5000,1,5,True,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,8,0.9403088092803956,0.9771999716758728,0.9771999716758728,4,-0.0686307027935981
22-03-10_09-47-24_120570,100,adam,0.001,100,-1,0.0,0.0,10.0,1.0,0.0,tv,False,data/custom_datasets/gaussian_student_mixture.py,5000,1,5,False,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,8,0.9403088092803956,0.9771999716758728,0.9771999716758728,4,-0.0686307027935981
22-03-10_09-48-43_623755,100,adam,0.001,100,-1,0.0,0.0,10.0,1.0,0.0,tv,False,data/custom_datasets/gaussian_student_mixture.py,5000,1,5,True,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,4,0.9443560242652892,0.9787999987602234,0.9787999987602234,4,-0.0658117532730102
22-03-10_09-48-43_623755,100,adam,0.001,100,-1,0.0,0.0,10.0,1.0,0.0,tv,False,data/custom_datasets/gaussian_student_mixture.py,5000,1,5,False,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,4,0.9443560242652892,0.9787999987602234,0.9787999987602234,4,-0.0658117532730102
22-03-10_09-49-01_502489,100,adam,0.001,100,-1,0.0,0.0,10.0,1.0,0.0,tv,False,data/custom_datasets/gaussian_student_mixture.py,5000,1,5,True,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,8,0.9403088092803956,0.9771999716758728,0.9771999716758728,4,-0.0686307027935981
22-03-10_09-49-01_502489,100,adam,0.001,100,-1,0.0,0.0,10.0,1.0,0.0,tv,False,data/custom_datasets/gaussian_student_mixture.py,5000,1,5,False,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,8,0.9403088092803956,0.9771999716758728,0.9771999716758728,4,-0.0686307027935981
22-03-10_09-50-20_852249,100,adam,0.001,100,-1,0.0,0.0,10.0,1.0,0.0,tv,False,data/custom_datasets/gaussian_student_mixture.py,5000,1,5,True,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,4,0.9357775449752808,0.9753999710083008,0.9753999710083008,4,-0.0722055956721305
22-03-10_09-50-20_852249,100,adam,0.001,100,-1,0.0,0.0,10.0,1.0,0.0,tv,False,data/custom_datasets/gaussian_student_mixture.py,5000,1,5,False,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,4,0.9357775449752808,0.9753999710083008,0.9753999710083008,4,-0.0722055956721305
22-03-10_09-50-38_113584,100,adam,0.001,100,-1,0.0,0.0,10.0,1.0,0.0,tv,False,data/custom_datasets/gaussian_student_mixture.py,5000,1,5,True,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,8,0.9403088092803956,0.9771999716758728,0.9771999716758728,4,-0.0686307027935981
22-03-10_09-50-38_113584,100,adam,0.001,100,-1,0.0,0.0,10.0,1.0,0.0,tv,False,data/custom_datasets/gaussian_student_mixture.py,5000,1,5,False,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,8,0.9403088092803956,0.9771999716758728,0.9771999716758728,4,-0.0686307027935981
22-03-10_09-51-57_928658,100,adam,0.001,100,-1,0.0,0.0,10.0,1.0,0.0,tv,False,data/custom_datasets/gaussian_student_mixture.py,5000,1,5,True,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,4,0.9403088092803956,0.9771999716758728,0.9771999716758728,4,-0.0686307027935981
22-03-10_09-51-57_928658,100,adam,0.001,100,-1,0.0,0.0,10.0,1.0,0.0,tv,False,data/custom_datasets/gaussian_student_mixture.py,5000,1,5,False,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,4,0.9403088092803956,0.9771999716758728,0.9771999716758728,4,-0.0686307027935981
22-03-10_09-52-16_907489,100,adam,0.001,100,-1,0.0,0.0,10.0,1.0,0.0,tv,False,data/custom_datasets/gaussian_student_mixture.py,5000,1,5,True,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,8,0.8650009036064148,0.8629999756813049,0.9793999791145324,5,-0.0583024844527244
22-03-10_09-52-16_907489,100,adam,0.001,100,-1,0.0,0.0,10.0,1.0,0.0,tv,False,data/custom_datasets/gaussian_student_mixture.py,5000,1,5,False,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,8,0.8651201725006104,0.8737999796867371,0.9787999987602234,5,-0.0597524382174015
