model_name,epochs,optimiser,learning_rate,batch_size,similarity,entropy_weight,vat_weight,vat_xi,vat_eps,recontruction_weight,gemini,ovo,dataset,dataset_N,dataset_df,dataset_alpha,train,encoder,encoder_input_shape,encoder_hidden_dim,encoder_output_shape,encoder_activation,clustering_head,clustering_head_input_shape,clustering_head_num_clusters,ARI,ACC,PTY,UCL,NCE
22-03-10_10-21-45_314306,100,adam,0.001,100,-1,0.0,0.0,10.0,1.0,0.0,tv,True,data/custom_datasets/gaussian_student_mixture.py,5000,1,5,True,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,4,0.9372676610946656,0.9760000109672546,0.9760000109672546,4,-0.0716640427708625
22-03-10_10-21-45_314306,100,adam,0.001,100,-1,0.0,0.0,10.0,1.0,0.0,tv,True,data/custom_datasets/gaussian_student_mixture.py,5000,1,5,False,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,4,0.9372676610946656,0.9760000109672546,0.9760000109672546,4,-0.0716640427708625
22-03-10_10-21-51_041826,100,adam,0.001,100,-1,0.0,0.0,10.0,1.0,0.0,tv,True,data/custom_datasets/gaussian_student_mixture.py,5000,1,5,True,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,8,0.5607762336730957,0.5867999792098999,0.9002000093460083,7,-0.0973487868905067
22-03-10_10-21-51_041826,100,adam,0.001,100,-1,0.0,0.0,10.0,1.0,0.0,tv,True,data/custom_datasets/gaussian_student_mixture.py,5000,1,5,False,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,8,0.5577780604362488,0.5770000219345093,0.9043999910354614,7,-0.0975371226668357
22-03-10_10-23-25_506282,100,adam,0.001,100,-1,0.0,0.0,10.0,1.0,0.0,tv,True,data/custom_datasets/gaussian_student_mixture.py,5000,1,5,True,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,4,0.9448704719543456,0.9789999723434448,0.9789999723434448,4,-0.0659758597612381
22-03-10_10-23-25_506282,100,adam,0.001,100,-1,0.0,0.0,10.0,1.0,0.0,tv,True,data/custom_datasets/gaussian_student_mixture.py,5000,1,5,False,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,4,0.9448704719543456,0.9789999723434448,0.9789999723434448,4,-0.0659758597612381
22-03-10_10-23-32_581877,100,adam,0.001,100,-1,0.0,0.0,10.0,1.0,0.0,tv,True,data/custom_datasets/gaussian_student_mixture.py,5000,1,5,True,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,8,0.5631090998649597,0.5807999968528748,0.906000018119812,7,-0.0907832682132721
22-03-10_10-23-32_581877,100,adam,0.001,100,-1,0.0,0.0,10.0,1.0,0.0,tv,True,data/custom_datasets/gaussian_student_mixture.py,5000,1,5,False,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,8,0.5649210214614868,0.5830000042915344,0.907800018787384,7,-0.0897114127874374
22-03-10_10-25-07_637361,100,adam,0.001,100,-1,0.0,0.0,10.0,1.0,0.0,tv,True,data/custom_datasets/gaussian_student_mixture.py,5000,1,5,True,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,4,0.9443560242652892,0.9787999987602234,0.9787999987602234,4,-0.0658117532730102
22-03-10_10-25-07_637361,100,adam,0.001,100,-1,0.0,0.0,10.0,1.0,0.0,tv,True,data/custom_datasets/gaussian_student_mixture.py,5000,1,5,False,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,4,0.9443560242652892,0.9787999987602234,0.9787999987602234,4,-0.0658117532730102
22-03-10_10-25-14_430320,100,adam,0.001,100,-1,0.0,0.0,10.0,1.0,0.0,tv,True,data/custom_datasets/gaussian_student_mixture.py,5000,1,5,True,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,8,0.5338606834411621,0.5794000029563904,0.8916000127792358,7,-0.109125941991806
22-03-10_10-25-14_430320,100,adam,0.001,100,-1,0.0,0.0,10.0,1.0,0.0,tv,True,data/custom_datasets/gaussian_student_mixture.py,5000,1,5,False,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,8,0.5353104472160339,0.574400007724762,0.8920000195503235,7,-0.1087093502283096
22-03-10_10-26-51_087267,100,adam,0.001,100,-1,0.0,0.0,10.0,1.0,0.0,tv,True,data/custom_datasets/gaussian_student_mixture.py,5000,1,5,True,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,4,0.9321492314338684,0.9739999771118164,0.9739999771118164,4,-0.0753090754151344
22-03-10_10-26-51_087267,100,adam,0.001,100,-1,0.0,0.0,10.0,1.0,0.0,tv,True,data/custom_datasets/gaussian_student_mixture.py,5000,1,5,False,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,4,0.9321492314338684,0.9739999771118164,0.9739999771118164,4,-0.0753090754151344
22-03-10_10-26-58_131353,100,adam,0.001,100,-1,0.0,0.0,10.0,1.0,0.0,tv,True,data/custom_datasets/gaussian_student_mixture.py,5000,1,5,True,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,8,0.5456170439720154,0.5699999928474426,0.9046000242233276,7,-0.103485994040966
22-03-10_10-26-58_131353,100,adam,0.001,100,-1,0.0,0.0,10.0,1.0,0.0,tv,True,data/custom_datasets/gaussian_student_mixture.py,5000,1,5,False,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,8,0.5469523072242737,0.5734000205993652,0.9074000120162964,7,-0.1026120260357856
22-03-10_10-28-32_981480,100,adam,0.001,100,-1,0.0,0.0,10.0,1.0,0.0,tv,True,data/custom_datasets/gaussian_student_mixture.py,5000,1,5,True,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,4,0.9306644797325134,0.9733999967575072,0.9733999967575072,4,-0.07649827003479
22-03-10_10-28-32_981480,100,adam,0.001,100,-1,0.0,0.0,10.0,1.0,0.0,tv,True,data/custom_datasets/gaussian_student_mixture.py,5000,1,5,False,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,4,0.930158793926239,0.973200023174286,0.973200023174286,4,-0.076898843050003
22-03-10_10-28-40_182978,100,adam,0.001,100,-1,0.0,0.0,10.0,1.0,0.0,tv,True,data/custom_datasets/gaussian_student_mixture.py,5000,1,5,True,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,8,0.6743527054786682,0.7142000198364258,0.9075999855995178,6,-0.0964501649141311
22-03-10_10-28-40_182978,100,adam,0.001,100,-1,0.0,0.0,10.0,1.0,0.0,tv,True,data/custom_datasets/gaussian_student_mixture.py,5000,1,5,False,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,8,0.6573108434677124,0.6976000070571899,0.8989999890327454,6,-0.1018956154584884
22-03-10_10-30-14_436840,100,adam,0.001,100,-1,0.0,0.0,10.0,1.0,0.0,tv,True,data/custom_datasets/gaussian_student_mixture.py,5000,1,5,True,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,4,0.9403088092803956,0.9771999716758728,0.9771999716758728,4,-0.0686307027935981
22-03-10_10-30-14_436840,100,adam,0.001,100,-1,0.0,0.0,10.0,1.0,0.0,tv,True,data/custom_datasets/gaussian_student_mixture.py,5000,1,5,False,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,4,0.9403088092803956,0.9771999716758728,0.9771999716758728,4,-0.0686307027935981
22-03-10_10-30-21_930002,100,adam,0.001,100,-1,0.0,0.0,10.0,1.0,0.0,tv,True,data/custom_datasets/gaussian_student_mixture.py,5000,1,5,True,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,8,0.6707200407981873,0.6204000115394592,0.9783999919891356,7,-0.0489446967840194
22-03-10_10-30-21_930002,100,adam,0.001,100,-1,0.0,0.0,10.0,1.0,0.0,tv,True,data/custom_datasets/gaussian_student_mixture.py,5000,1,5,False,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,8,0.6705759763717651,0.6191999912261963,0.9783999919891356,7,-0.0489599369466304
22-03-10_10-31-58_208031,100,adam,0.001,100,-1,0.0,0.0,10.0,1.0,0.0,tv,True,data/custom_datasets/gaussian_student_mixture.py,5000,1,5,True,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,4,0.9448957443237304,0.9789999723434448,0.9789999723434448,4,-0.0659773051738739
22-03-10_10-31-58_208031,100,adam,0.001,100,-1,0.0,0.0,10.0,1.0,0.0,tv,True,data/custom_datasets/gaussian_student_mixture.py,5000,1,5,False,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,4,0.9448957443237304,0.9789999723434448,0.9789999723434448,4,-0.0659773051738739
22-03-10_10-32-04_374051,100,adam,0.001,100,-1,0.0,0.0,10.0,1.0,0.0,tv,True,data/custom_datasets/gaussian_student_mixture.py,5000,1,5,True,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,8,0.5506775975227356,0.5034000277519226,0.9670000076293944,8,-0.0572275295853614
22-03-10_10-32-04_374051,100,adam,0.001,100,-1,0.0,0.0,10.0,1.0,0.0,tv,True,data/custom_datasets/gaussian_student_mixture.py,5000,1,5,False,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,8,0.550564706325531,0.5023999810218811,0.967199981212616,8,-0.0566984489560127
22-03-10_10-33-41_733195,100,adam,0.001,100,-1,0.0,0.0,10.0,1.0,0.0,tv,True,data/custom_datasets/gaussian_student_mixture.py,5000,1,5,True,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,4,0.9356752634048462,0.9753999710083008,0.9753999710083008,4,-0.074439413845539
22-03-10_10-33-41_733195,100,adam,0.001,100,-1,0.0,0.0,10.0,1.0,0.0,tv,True,data/custom_datasets/gaussian_student_mixture.py,5000,1,5,False,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,4,0.9356752634048462,0.9753999710083008,0.9753999710083008,4,-0.074439413845539
