model_name,epochs,optimiser,learning_rate,batch_size,similarity,entropy_weight,vat_weight,vat_xi,vat_eps,recontruction_weight,gemini,ovo,dataset,dataset_N,dataset_df,dataset_alpha,train,encoder,encoder_input_shape,encoder_hidden_dim,encoder_output_shape,encoder_activation,clustering_head,clustering_head_input_shape,clustering_head_num_clusters,ARI,ACC,PTY,UCL,NCE
22-08-05_11-58-49_794922,100,adam,0.001,100,euclidean,0.0,0.0,10.0,1.0,0.0,wasserstein,False,data/custom_datasets/gaussian_student_mixture.py,5000,1,5,True,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,4,0.6648900508880615,0.7369999885559082,0.7369999885559082,3,-0.2970320284366607
22-08-05_11-58-49_794922,100,adam,0.001,100,euclidean,0.0,0.0,10.0,1.0,0.0,wasserstein,False,data/custom_datasets/gaussian_student_mixture.py,5000,1,5,False,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,4,0.6646295189857483,0.7369999885559082,0.7369999885559082,3,-0.2977145314216614
22-08-05_11-59-51_935922,100,adam,0.001,100,euclidean,0.0,0.0,10.0,1.0,0.0,wasserstein,False,data/custom_datasets/gaussian_student_mixture.py,5000,2,5,True,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,4,0.9680100083351136,0.9879999756813048,0.9879999756813048,4,-0.0412312932312488
22-08-05_11-59-51_935922,100,adam,0.001,100,euclidean,0.0,0.0,10.0,1.0,0.0,wasserstein,False,data/custom_datasets/gaussian_student_mixture.py,5000,2,5,False,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,4,0.9680100083351136,0.9879999756813048,0.9879999756813048,4,-0.0412312932312488
22-08-05_11-59-33_618770,100,adam,0.001,100,euclidean,0.0,0.0,10.0,1.0,0.0,wasserstein,False,data/custom_datasets/gaussian_student_mixture.py,5000,1,5,True,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,8,0.8942342400550842,0.932799994945526,0.9783999919891356,5,-0.0612118542194366
22-08-05_11-59-33_618770,100,adam,0.001,100,euclidean,0.0,0.0,10.0,1.0,0.0,wasserstein,False,data/custom_datasets/gaussian_student_mixture.py,5000,1,5,False,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,8,0.8924140930175781,0.9305999875068665,0.9783999919891356,5,-0.0610937103629112
22-08-05_11-59-50_753315,100,adam,0.001,100,euclidean,0.0,0.0,10.0,1.0,0.0,wasserstein,False,data/custom_datasets/gaussian_student_mixture.py,5000,2,5,True,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,8,0.8818586468696594,0.8952000141143799,0.9922000169754028,6,-0.0258404444903135
22-08-05_11-59-50_753315,100,adam,0.001,100,euclidean,0.0,0.0,10.0,1.0,0.0,wasserstein,False,data/custom_datasets/gaussian_student_mixture.py,5000,2,5,False,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,8,0.8837844133377075,0.8971999883651733,0.9922000169754028,6,-0.0261029060930013
22-08-05_12-01-20_688674,100,adam,0.001,100,euclidean,0.0,0.0,10.0,1.0,0.0,wasserstein,False,data/custom_datasets/gaussian_student_mixture.py,5000,1,5,True,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,4,0.9282249808311462,0.9724000096321106,0.9724000096321106,4,-0.0783622190356254
22-08-05_12-01-20_688674,100,adam,0.001,100,euclidean,0.0,0.0,10.0,1.0,0.0,wasserstein,False,data/custom_datasets/gaussian_student_mixture.py,5000,1,5,False,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,4,0.9277299046516418,0.9721999764442444,0.9721999764442444,4,-0.0787334814667701
22-08-05_12-02-32_141973,100,adam,0.001,100,euclidean,0.0,0.0,10.0,1.0,0.0,wasserstein,False,data/custom_datasets/gaussian_student_mixture.py,5000,2,5,True,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,4,0.9685363173484802,0.9882000088691713,0.9882000088691713,4,-0.0410870984196662
22-08-05_12-02-32_141973,100,adam,0.001,100,euclidean,0.0,0.0,10.0,1.0,0.0,wasserstein,False,data/custom_datasets/gaussian_student_mixture.py,5000,2,5,False,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,4,0.9685363173484802,0.9882000088691713,0.9882000088691713,4,-0.0410870984196662
22-08-05_12-02-48_232720,100,adam,0.001,100,euclidean,0.0,0.0,10.0,1.0,0.0,wasserstein,False,data/custom_datasets/gaussian_student_mixture.py,5000,1,5,True,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,8,0.8977242708206177,0.9423999786376952,0.9747999906539916,5,-0.0689486041665077
22-08-05_12-02-48_232720,100,adam,0.001,100,euclidean,0.0,0.0,10.0,1.0,0.0,wasserstein,False,data/custom_datasets/gaussian_student_mixture.py,5000,1,5,False,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,8,0.8948836326599121,0.9394000172615052,0.9747999906539916,5,-0.0687184631824493
22-08-05_12-03-03_741017,100,adam,0.001,100,euclidean,0.0,0.0,10.0,1.0,0.0,wasserstein,False,data/custom_datasets/gaussian_student_mixture.py,5000,2,5,True,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,8,0.967487335205078,0.9878000020980836,0.9878000020980836,4,-0.0421157069504261
22-08-05_12-03-03_741017,100,adam,0.001,100,euclidean,0.0,0.0,10.0,1.0,0.0,wasserstein,False,data/custom_datasets/gaussian_student_mixture.py,5000,2,5,False,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,8,0.9680147767066956,0.9879999756813048,0.9879999756813048,4,-0.0416096933186054
22-08-05_12-03-50_788419,100,adam,0.001,100,euclidean,0.0,0.0,10.0,1.0,0.0,wasserstein,False,data/custom_datasets/gaussian_student_mixture.py,5000,1,5,True,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,4,0.9287205338478088,0.972599983215332,0.972599983215332,4,-0.0779888704419136
22-08-05_12-03-50_788419,100,adam,0.001,100,euclidean,0.0,0.0,10.0,1.0,0.0,wasserstein,False,data/custom_datasets/gaussian_student_mixture.py,5000,1,5,False,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,4,0.929226815700531,0.9728000164031982,0.9728000164031982,4,-0.0775745883584022
22-08-05_12-05-24_511607,100,adam,0.001,100,euclidean,0.0,0.0,10.0,1.0,0.0,wasserstein,False,data/custom_datasets/gaussian_student_mixture.py,5000,2,5,True,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,4,0.9685426354408264,0.9882000088691713,0.9882000088691713,4,-0.0410984978079795
22-08-05_12-05-24_511607,100,adam,0.001,100,euclidean,0.0,0.0,10.0,1.0,0.0,wasserstein,False,data/custom_datasets/gaussian_student_mixture.py,5000,2,5,False,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,4,0.9690644145011902,0.9883999824523926,0.9883999824523926,4,-0.0405753515660762
