model_name,epochs,optimiser,learning_rate,batch_size,similarity,entropy_weight,vat_weight,vat_xi,vat_eps,recontruction_weight,gemini,ovo,dataset,dataset_N,dataset_df,dataset_alpha,train,encoder,encoder_input_shape,encoder_hidden_dim,encoder_output_shape,encoder_activation,clustering_head,clustering_head_input_shape,clustering_head_num_clusters,ARI,ACC,PTY,UCL,NCE
22-03-10_11-14-01_523801,100,adam,0.001,100,euclidean,0.0,0.0,10.0,1.0,0.0,wasserstein,True,data/custom_datasets/gaussian_student_mixture.py,5000,1,5,True,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,4,0.9145706295967102,0.9667999744415284,0.9667999744415284,4,-0.0878931730985641
22-03-10_11-14-01_523801,100,adam,0.001,100,euclidean,0.0,0.0,10.0,1.0,0.0,wasserstein,True,data/custom_datasets/gaussian_student_mixture.py,5000,1,5,False,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,4,0.9136075973510742,0.9664000272750854,0.9664000272750854,4,-0.0885333865880966
22-03-10_11-14-03_372945,100,adam,0.001,100,euclidean,0.0,0.0,10.0,1.0,0.0,wasserstein,True,data/custom_datasets/gaussian_student_mixture.py,5000,2,5,True,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,4,0.9717220664024352,0.989400029182434,0.989400029182434,4,-0.0380639918148517
22-03-10_11-14-03_372945,100,adam,0.001,100,euclidean,0.0,0.0,10.0,1.0,0.0,wasserstein,True,data/custom_datasets/gaussian_student_mixture.py,5000,2,5,False,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,4,0.9717220664024352,0.989400029182434,0.989400029182434,4,-0.0380639918148517
22-03-10_11-17-10_621189,100,adam,0.001,100,euclidean,0.0,0.0,10.0,1.0,0.0,wasserstein,True,data/custom_datasets/gaussian_student_mixture.py,5000,1,5,True,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,4,0.9161782264709472,0.9674000144004822,0.9674000144004822,4,-0.0871438309550285
22-03-10_11-17-10_621189,100,adam,0.001,100,euclidean,0.0,0.0,10.0,1.0,0.0,wasserstein,True,data/custom_datasets/gaussian_student_mixture.py,5000,1,5,False,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,4,0.9166603684425354,0.9675999879837036,0.9675999879837036,4,-0.0868261232972145
22-03-10_11-17-16_437671,100,adam,0.001,100,euclidean,0.0,0.0,10.0,1.0,0.0,wasserstein,True,data/custom_datasets/gaussian_student_mixture.py,5000,2,5,True,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,4,0.9733082056045532,0.9900000095367432,0.9900000095367432,4,-0.0364168658852577
22-03-10_11-17-16_437671,100,adam,0.001,100,euclidean,0.0,0.0,10.0,1.0,0.0,wasserstein,True,data/custom_datasets/gaussian_student_mixture.py,5000,2,5,False,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,4,0.9733082056045532,0.9900000095367432,0.9900000095367432,4,-0.0364168658852577
22-03-10_11-14-01_523520,100,adam,0.001,100,euclidean,0.0,0.0,10.0,1.0,0.0,wasserstein,True,data/custom_datasets/gaussian_student_mixture.py,5000,2,5,True,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,8,0.8918924331665039,0.8723999857902527,0.992799997329712,5,-0.0254968535155057
22-03-10_11-14-01_523520,100,adam,0.001,100,euclidean,0.0,0.0,10.0,1.0,0.0,wasserstein,True,data/custom_datasets/gaussian_student_mixture.py,5000,2,5,False,models/custom_models/encoder_mlp.py,2,20,20,tanh,models/custom_models/clustering_head_linear.py,20,8,0.8922755122184753,0.8766000270843506,0.992799997329712,5,-0.0255540460348129
